# QBopomofo 自訂詞庫
#
# 格式：詞,詞頻,注音（空格分隔）
# 詞頻越高越優先顯示。上游 tsi.csv 的常見詞頻範圍：
#   - 超高頻（的、是、我）: 50000+
#   - 高頻（已經、可以）: 5000-50000
#   - 中頻（嘗試、調整）: 500-5000
#   - 低頻（罕用詞）: 0-500
#
# 注意：此檔會與上游 tsi.csv 合併編譯，同詞同音時以較高詞頻為準。
#
# dc:title,QBopomofo 自訂詞庫,
# dc:rights,Copyright (c) 2026 TonyQ Wang,
# dc:license,LGPL-2.1-or-later,
# dc:identifier,2026.03.30,
再試試,500,ㄗㄞˋ ㄕˋ ㄕˋ
# ^ 「再試試」優先於「在試試」，後者語法不通順 (2026-03-30)
他現在,5000,ㄊㄚ ㄒㄧㄢˋ ㄗㄞˋ
# ^ 避免前向匹配斷成「塌陷+再」，見 issue #2 (2026-03-31)
第一位,5000,ㄉㄧˋ ㄧ ㄨㄟˋ
# ^ 避免斷成「地一位」，上游無此三字詞 (2026-03-31)
為啥,500,ㄨㄟˋ ㄕㄚˊ
# ^ 上游只有二聲 ㄨㄟˊ，補四聲 ㄨㄟˋ 避免「餵啥」(2026-03-31)
零個字,500,ㄌㄧㄥˊ ㄍㄜ˙ ㄗˋ
一個字,500,ㄧ ㄍㄜ˙ ㄗˋ
兩個字,500,ㄌㄧㄤˇ ㄍㄜ˙ ㄗˋ
三個字,500,ㄙㄢ ㄍㄜ˙ ㄗˋ
四個字,500,ㄙˋ ㄍㄜ˙ ㄗˋ
五個字,500,ㄨˇ ㄍㄜ˙ ㄗˋ
六個字,500,ㄌㄧㄡˋ ㄍㄜ˙ ㄗˋ
七個字,500,ㄑㄧ ㄍㄜ˙ ㄗˋ
八個字,500,ㄅㄚ ㄍㄜ˙ ㄗˋ
九個字,500,ㄐㄧㄡˇ ㄍㄜ˙ ㄗˋ
十個字,500,ㄕˊ ㄍㄜ˙ ㄗˋ
# ^ 新增「零～十個字」，避免組字時斷成錯誤組合 (2026-03-31)
白目,500,ㄅㄞˊ ㄇㄨˋ
# ^ 上游無此詞，台灣常用口語，避免斷成「白木」(2026-03-31)
撈出,500,ㄌㄠ ㄔㄨ
# ^ 上游無此詞，避免斷成「撈初」(2026-03-31)
對啊,500,ㄉㄨㄟˋ ㄚ˙
# ^ 上游無此詞，避免斷成「對阿」(2026-03-31)
